id	 1hr	 2hr	 3hr	 4hr	 6hr	 7hr	 8hr	 9hr	10hr
S3_H_T16951	6.7711	5.4878	6.2471	5.7039	5.4703	4.9506	4.4953	3.2224	3.2224
S3_H_T16953	6.1759	5.3004	4.888	4.9669	4.0298	3.5638	3.2224	3.2224	3.2224
S3_H_T16954	7.1578	6.2994	6.7567	6.4694	6.3099	5.6444	4.8673	3.2224	3.2224
S3_H_T1696	8.5091	7.8154	8.0155	7.8818	7.3517	6.6179	5.7298	3.4431	3.9247
S3_H_T16960	5.9979	5.085	4.8239	4.382	4.2224	3.2224	3.2224	3.2224	3.2224
S3_H_T16964	5.8795	5.1307	4.7567	4.4694	3.5443	3.9507	3.2224	3.2224	3.2224
S3_H_T16967	6.958	6.4148	6.4519	5.8738	5.4703	5.3549	4.2152	3.2224	3.2224
S3_H_T16969	7.1578	6.3193	6.2471	5.8738	5.3923	4.9506	4.1083	3.2224	3.2224
S3_H_T16971	6.364	5.5564	5.6124	5.0824	3.8074	4.1112	3.2224	3.2224	3.2224
S3_H_T16975	6.209	5.5896	5.888	5.3362	5.1293	4.1851	4.1083	3.2224	3.2224
S3_H_T16978	6.504	5.9112	5.4519	5.4694	5.3099	4.5636	3.5778	3.2224	3.2224
S3_H_T16982	8.377	7.5636	7.3531	6.757	6.0804	5.9505	5.3147	3.55	3.2224
S3_H_T16985	6.0718	5.4157	5.2224	4.6299	3.5443	3.7702	3.2224	3.2224	3.2224
S3_H_T16986	8.1141	7.4953	7.8563	7.6949	7.2224	6.4777	5.8002	3.2224	3.8607
S3_H_T16987	5.9595	5.2181	5.0649	4.9055	4.3923	3.8633	3.4078	3.2224	3.2224
S3_H_T16988	7.3332	6.5217	7.3644	6.9669	6.2224	5.2894	4.7298	3.2224	3.7936
S3_H_T1699	6.304	5.5225	5.9494	5.8083	5.4703	5.3866	4.1083	3.2224	3.2224
S3_H_T16992	8.3987	7.8838	7.8402	7.6204	7.2668	6.7819	6.0517	3.7425	4.2587
S3_H_T16993	6.1759	5.8578	5.919	5.382	4.6818	3.8633	3.2224	3.2224	3.2224
S3_H_T16995	6.5304	5.9627	5.5739	5.2889	5.0298	4.7211	4.2152	3.2224	3.2224
S3_H_T16997	7.6549	7.1844	7.3644	6.7914	5.5443	4.77	4.4078	3.2224	3.2224
S3_H_T16999	8.9174	8.3956	8.1846	7.8332	7.3923	7.1391	6.3386	4.9118	4.6483
S3_H_T17	8.5485	7.8362	7.7481	7.3362	6.8371	6.4924	5.6173	4.1345	4.4449
S3_H_T1700	5.7505	5.1751	5.6124	5.2889	4.8074	4.1851	3.5778	3.2224	3.2224
S3_H_T17003	6.209	5.5225	5.2713	4.7743	4.2224	3.4483	3.2224	3.2224	3.2224
S3_H_T17005	6.7261	6.0839	5.5739	4.8414	3.8074	3.4483	3.2224	3.2224	3.2224
S3_H_T17009	6.273	5.3783	5.1718	4.6299	4.0298	4.6705	3.2224	3.2224	3.2224
S3_H_T17013	6.142	5.4522	5.2713	5.1893	4.2224	4.0332	3.5778	3.2224	3.2224
S3_H_T17017	7.5163	6.744	6.6682	6.0544	5.4703	5.4177	4.7298	3.2224	3.402
S3_H_T1702	6.6316	5.9372	5.9494	5.2889	5.0298	4.507	3.2224	3.2224	3.2224
S3_H_T17023	6.9384	6.4514	5.7907	5.8414	4.8074	5.2894	4.3147	3.2224	3.2224
S3_H_T17024	7.6668	6.8157	6.1973	5.8414	5.0298	5.0726	4.1083	3.2224	3.2224
S3_H_T17025	5.8795	5.2598	5.1193	4.6299	4.3923	4.0332	3.2224	3.2224	3.2224
S3_H_T17026	6.142	5.3399	5.3186	4.7039	3.8074	3.8633	3.2224	3.2224	3.2224
S3_H_T1703	7.7592	7.1291	6.6864	6.0824	6.2224	5.6444	4.7298	3.3278	3.2224
S3_H_T17033	6.273	5.4157	6.0083	5.9967	5.2224	4.3867	3.7298	3.2224	3.2224
S3_H_T17034	5.506	4.9384	5.4519	5.7743	4.9229	4.3867	3.7298	3.2224	3.2224
S3_H_T17036	5.9595	5.3399	5.5739	4.8414	4.0298	4.3226	3.2224	3.2224	3.2224
S3_H_T17037	7.3481	6.7292	6.7907	6.5113	6.3923	6.0128	5.1627	3.2224	3.2224
S3_H_T17038	5.9595	5.3399	5.3644	4.9669	4.5443	3.4483	3.2224	3.2224	3.2224
S3_H_T17040	7.606	6.7875	6.3417	5.9967	5.4703	5.5069	4.6558	3.2224	3.2224
S3_H_T17043	6.9384	6.174	6.5543	6.382	5.6818	5.2894	4.4953	3.2224	3.2224
S3_H_T1705	6.6796	5.5896	5.9791	5.9669	5.3923	5.1485	4.4953	3.2224	3.2224
S3_H_T17050	6.6796	5.6536	5.8563	5.24	5.1293	4.3226	3.2224	3.2224	3.2224
S3_H_T17051	6.4217	5.4878	5.3644	5.2889	4.9229	4.2555	3.5778	3.2224	3.2224
S3_H_T17052	6.9384	6.3193	5.722	5.3362	5.1293	4.9075	3.7298	3.2224	3.2224
S3_H_T17053	5.8378	5.4157	5.0649	4.6299	3.2224	3.3229	3.2224	3.2224	3.2224
S3_H_T17063	6.7711	6.174	5.5344	4.8414	4.0298	4.1851	3.2224	3.2224	3.2224
S3_H_T17064	6.5304	5.5564	6.6312	6.3127	6.1766	5.4177	4.9314	3.2224	3.2224
S3_H_T17067	7.0883	6.4514	6.5543	6.2149	5.8074	5.591	5.0517	3.2224	3.402
S3_H_T17069	5.9979	5.4157	5.0649	3.9669	3.2224	3.2224	3.2224	3.2224	3.2224
S3_H_T17074	6.9384	6.3774	6.9938	6.9669	6.746	6.6045	6.0517	3.2224	3.986
S3_H_T17076	7.0153	6.5217	6.0083	5.5914	4.6818	4.6705	3.4078	3.2224	3.2224
S3_H_T17077	5.8795	5.1751	5.6498	5.5113	4.6818	4.0332	3.5778	3.2224	3.2224
S3_H_T17079	5.9201	4.886	5.1718	5.0258	4.3923	3.7702	3.2224	3.2224	3.2224
S3_H_T17081	7.6549	7.1952	7.1973	7.0113	6.2668	5.185	4.5778	3.2224	3.2224
S3_H_T17082	6.304	5.5564	5.2224	4.9669	4.3923	3.4483	3.2224	3.2224	3.2224
S3_H_T17083	6.3343	5.3004	5.7567	5.6299	5.746	4.77	3.7298	3.2224	3.2224
S3_H_T17084	7.3332	6.6371	6.6682	6.3593	5.9773	5.6704	4.4078	3.2224	3.2224
S3_H_T17093	6.3343	5.4522	5.0083	4.6299	4.8074	3.7702	3.2224	3.2224	3.2224
S3_H_T17094	6.304	5.622	5.8563	5.6674	5.3099	4.4481	3.2224	3.2224	3.2224
S3_H_T17097	6.7488	6.0839	5.722	5.6299	5.3099	4.507	3.9928	3.2224	3.2224
S3_H_T1710	7.967	7.3385	7.2952	7.1235	6.8948	6.6179	5.7654	3.2224	3.6495
S3_H_T17106	6.703	5.6846	6.7395	6.5914	6.4319	5.5355	4.1083	3.2224	3.2224
S3_H_T17113	5.9595	5.2181	5.2224	4.6299	4.3923	4.1112	3.2224	3.2224	3.2224
S3_H_T17115	5.7505	5.1307	5.6498	5.7395	5.4703	4.7211	3.8673	3.2224	3.2224
S3_H_T17116	9.0001	8.5634	8.3588	7.8738	7.3099	7.1014	5.9314	4.8504	4.4006
S3_H_T17118	6.209	5.6846	5.0083	4.7039	4.2224	4.1112	3.2224	3.2224	3.2224
S3_H_T17124	8.3401	7.7214	7.5243	7.1764	6.4319	5.8854	5.1083	3.6494	3.4893
S3_H_T17127	6.6316	6.0604	6.3868	6.382	5.3923	4.9075	4.4078	3.2224	3.2224
S3_H_T17134	7.8668	7.048	6.5932	5.8414	4.9229	4.77	3.7298	3.2224	3.2224
S3_H_T17136	6.8984	6.2381	5.9494	5.5914	4.2224	4.3226	3.2224	3.2224	3.2224
S3_H_T17141	6.7488	6.1957	6.5344	6.4264	6.1293	5.2206	4.5778	3.2224	3.2224
S3_H_T17144	6.364	5.4878	4.5344	4.382	3.5443	3.5638	3.2224	3.2224	3.2224
