id	1hr	2hr	3hr	4hr	5hr	6hr	7hr	9hr
S1_L_T20591	5.5197	5.1248	5.2358	5.2148	4.6349	4.9058	4.3901	2.5867
S1_L_T20593	5.7617	6.018	5.882	5.5256	4.8976	3.9065	3.7535	2.5867
S1_L_T20606	4.9778	5.1734	5.4981	5.5256	5.1704	5.2276	4.3377	2.5867
S1_L_T20612	3.6276	4.4416	5.0842	5.2148	5.4821	4.6715	3.5839	2.7952
S1_L_T20642	5.274	5.4352	5.4159	5.4005	4.0144	4.491	3.7535	2.5867
S1_L_T20646	6.2441	6.1454	6.4351	6.1869	5.4821	5.4416	4.67	2.5867
S1_L_T20663	4.8638	5.2205	5.942	5.565	5.56	5.793	4.4407	3.1391
S1_L_T20666	3.6276	4.0827	4.9735	5.5256	5.6696	4.584	3.8314	2.5867
S1_L_T20707	3.6276	4.0827	5.5375	5.4434	5.6696	5.2276	4.7118	2.7386
S1_L_T20713	4.922	5.1734	5.5759	4.6078	5.013	4.491	3.4909	2.5867
S1_L_T20733	3.9956	5.2205	5.9711	5.3563	5.6696	5.391	3.8314	2.5867
S1_L_T20741	2.6725	3.4543	5.3286	5.565	5.3123	5.1687	3.9053	2.5867
S1_L_T20745	6.6743	6.0958	6.304	5.8143	5.2665	5.391	4.5368	2.9021
S1_L_T20747	3.8831	4.3599	5.6133	5.6034	5.1704	5.2276	4.3901	2.5867
S1_L_T20754	5.1819	5.2661	5.72	4.8819	4.6349	2.5867	2.7558	2.5867
S1_L_T20760	5.274	5.0223	5.8194	5.0579	4.9564	5.1073	4.3377	2.6183
S1_L_T20765	5.6284	5.2661	5.4159	5.2148	4.561	4.1693	2.9073	2.5867
S1_L_T20768	5.8837	6.0958	6.8807	6.62	6.5784	6.5376	5.8486	4.4521
S1_L_T20777	5.4815	5.4745	5.9711	5.6407	5.56	5.5836	4.5368	2.6183
S1_L_T20786	7.5843	7.1188	6.7356	6.6012	5.5975	5.0432	4.168	2.7952
S1_L_T20799	3.3171	3.2876	5.4159	5.4434	5.7043	6.3908	4.8303	3.6796
S1_L_T2080	6.7242	6.3284	6.371	6.2365	6.4409	5.5378	4.5826	2.7952
S1_L_T20800	6.6911	6.2624	6.2575	6.398	5.8355	5.4905	5.0741	3.0947
S1_L_T20829	5.4423	5.9637	5.5375	5.1121	5.3123	4.0439	3.5839	2.5867
S1_L_T20839	4.9778	5.3102	5.0842	5.1644	5.0674	4.1693	4.7524	2.9021
S1_L_T20848	4.2885	4.5189	5.6853	5.3563	5.3997	5.1687	4.1066	2.5867
S1_L_T20852	2.6725	2.5867	4.5015	4.4483	5.5975	5.5836	4.1066	3.1391
S1_L_T20890	3.4807	4.5923	5.72	6.2119	6.2425	6.5607	5.3894	4.4521
S1_L_T20905	6.4557	6.432	6.2095	6.0267	6.0123	5.1687	4.7118	3.3426
S1_L_T20909	6.0751	5.9073	5.787	5.2148	4.0144	4.491	4.0426	2.5867
S1_L_T2091	8.2442	7.9878	7.8953	7.7866	7.3775	6.8313	6.3096	3.876
S1_L_T20910	5.9689	5.5502	5.5375	5.0579	4.8363	4.1693	4.4896	2.5867
S1_L_T20943	6.3109	5.3102	5.3286	4.8181	4.7052	2.5867	2.5867	2.5867
S1_L_T20945	6.6401	6.3914	6.6838	6.7792	6.334	6.4661	5.6904	4.2031
S1_L_T20949	4.5319	4.4416	5.787	5.9692	5.634	5.7535	4.4896	2.9021
S1_L_T20950	3.1325	3.863	5.0842	5.2635	5.8355	5.2842	4.7524	3.0947
S1_L_T20959	4.4552	5.1248	5.942	6.2845	6.1944	5.3386	4.2833	2.7386
S1_L_T20970	5.7617	4.9119	6.281	6.109	6.3117	5.671	5.1058	3.3801
S1_L_T20981	6.4358	6.432	7.3701	7.2472	6.8661	6.5834	5.6904	4.2645
S1_L_T20986	6.3747	6.0703	6.5743	6.0821	6.1446	5.8315	5.4149	3.6796
S1_L_T20987	5.9962	6.1208	5.942	5.9692	5.3566	5.2276	4.2268	2.5867
S1_L_T20992	6.3325	5.4745	5.1365	5.1121	4.7722	4.3915	3.1697	2.5867
S1_L_T20994	3.3171	3.4543	5.6498	5.6771	5.3566	5.4905	4.1066	2.9527
S1_L_T20995	5.4021	5.3531	5.9123	5.9395	5.013	5.7535	5.44	4.0946
S1_L_T21000	5.3606	5.622	5.6853	5.4005	3.4852	3.7547	2.5867	2.5867
S1_L_T21010	2.9208	4.3599	5.5759	5.7473	4.8976	5.4905	4.2268	2.5867
S1_L_T21032	4.6047	5.3102	5.787	5.7127	5.8355	5.628	4.8303	2.9021
S1_L_T21035	4.8033	5.3531	5.942	5.9692	4.7722	5.2276	3.8314	2.5867
S1_L_T21041	3.8831	4.5923	5.6853	5.7812	5.5975	5.793	4.4407	3.0947
S1_L_T21042	4.8638	4.4416	5.72	5.1121	4.6349	4.9762	4.0426	2.5867
S1_L_T21045	5.941	6.3497	6.1849	5.9395	5.7043	5.391	4.8303	3.0016
S1_L_T21058	5.4423	5.7235	5.3729	5.0579	5.4821	4.584	3.8314	2.5867
S1_L_T21064	5.4021	5.4745	5.787	5.4005	4.9564	4.9058	3.9053	2.5867
S1_L_T21074	5.1335	4.5189	4.6528	4.4483	4.1211	4.1693	3.9756	3.767
S1_L_T21102	5.8541	5.8486	4.7898	5.3106	4.9564	4.0439	3.3916	2.5867
S1_L_T21103	4.1973	4.8534	6.3267	6.0547	5.9266	5.9758	4.6269	3.0016
S1_L_T21114	6.023	6.6367	7.3257	7.2104	6.8965	7.2837	6.3499	4.6337
S1_L_T21121	6.6401	6.0444	5.187	5.1121	4.6349	3.7547	3.6712	2.5867
S1_L_T21125	4.8033	5.5865	6.281	6.0547	6.0667	6.3114	5.3894	3.876
S1_L_T21138	5.274	6.1454	6.7691	6.7792	6.6335	6.9053	5.9217	4.4521
S1_L_T2115	4.6047	5.0744	5.6498	5.0579	5.3997	4.8318	3.7535	2.5867
S1_L_T21153	5.5568	5.1248	4.9149	4.2691	3.4852	2.5867	2.5867	2.5867
S1_L_T21154	6.4945	6.4518	7.0402	7.1854	7.0119	6.9053	5.4889	4.0253
S1_L_T21156	7.7215	7.2718	7.4131	6.6386	7.1569	6.0753	5.8107	3.876
S1_L_T21172	5.274	5.5128	7.0264	6.8124	7.0796	6.8501	5.8856	4.0719
S1_L_T21184	5.6284	4.9119	5.4576	5.3563	4.4008	4.7539	4.4896	2.5867
S1_L_T21190	5.318	5.2661	6.4964	6.3536	6.1697	6.1684	5.1058	3.2646
S1_L_T21199	4.2885	4.9682	6.4763	6.4827	6.4815	6.7127	5.3369	4.3614
S1_L_T21200	6.9505	6.3914	6.4351	6.3079	6.1944	5.2842	4.9043	3.0489
S1_L_T21206	6.2441	6.2398	6.5932	6.4196	6.0123	6.1684	5.0741	3.4522
S1_L_T21213	4.8033	4.6621	5.8194	5.4851	5.3566	5.391	4.3901	2.5867
S1_L_T21218	5.7617	6.0958	6.6482	6.8607	6.597	6.0429	5.2545	3.7093
S1_L_T21232	4.3743	4.5923	5.882	5.7812	5.1198	5.391	3.9756	2.6183
S1_L_T21234	4.1973	4.2733	4.9735	5.4851	4.8976	5.3386	3.3916	3.0016
S1_L_T21242	4.2885	4.1811	6.2575	6.2119	6.2425	6.3114	4.7524	3.3041
S1_L_T21246	3.9956	4.0827	5.6133	5.0016	5.1198	4.7539	3.8314	2.5867
S1_L_T2126	3.761	5.1248	6.4763	6.2365	6.4815	6.5376	5.3634	4.139
S1_L_T21264	5.6629	4.9682	5.3729	5.6407	4.1211	4.0439	3.5839	2.5867
S1_L_T21270	4.674	4.8534	5.5759	5.4851	5.2665	4.3915	3.2849	2.5867
S1_L_T21274	6.023	6.4118	6.349	6.2119	5.3997	4.584	2.5867	2.5867
S1_L_T21280	4.8638	5.1248	5.6853	4.7513	4.561	4.7539	2.5867	2.5867
S1_L_T21287	2.5867	2.882	5.4576	5.7812	5.7714	5.9411	3.3916	3.224
S1_L_T2129	5.1335	5.4352	5.4576	5.2148	4.7722	5.0432	3.7535	2.5867
S1_L_T21293	2.6725	3.099	5.2358	5.3106	5.8038	5.8315	3.3916	2.7952
S1_L_T21294	5.318	5.3102	6.7186	6.2607	6.6335	6.4163	5.4889	3.902
S1_L_T21352	6.0493	5.1248	4.5015	4.5303	3.7739	4.0439	4.2268	2.5867
S1_L_T21366	2.5867	3.863	5.9996	5.7812	6.2425	6.6708	5.6263	4.4521
S1_L_T21367	2.5867	2.6264	4.9149	4.943	5.3123	5.9055	3.5839	2.8496
S1_L_T21408	2.5867	2.5867	4.6528	5.0016	5.013	5.8315	4.0426	2.9527
S1_L_T21422	5.824	5.5128	5.72	5.6771	5.0674	4.8318	3.6712	2.5867
S1_L_T21430	5.5568	5.3531	6.1084	6.1614	6.334	5.2276	4.4407	3.0489
S1_L_T21432	8.0429	8.0081	7.8332	7.4712	6.9408	6.4414	6.3096	5.182
S1_L_T21447	4.8638	4.7288	5.8194	5.0579	4.8976	4.584	3.6712	2.6797
S1_L_T21452	5.941	6.1696	6.2095	6.3079	6.0397	5.9411	5.226	3.3041
S1_L_T21455	3.761	4.1811	5.851	6.109	6.0123	5.671	4.7919	3.7093
S1_L_T21456	4.6047	5.0223	5.6853	4.943	4.6349	3.7547	3.9756	2.5867
S1_L_T21458	6.8493	7.2606	7.2447	6.9674	6.334	6.4661	6.0895	4.2645
S1_L_T21459	6.4557	6.432	6.2095	6.0267	6.0123	5.1687	4.7118	3.3426
S1_L_T21460	6.5872	5.9911	4.6528	5.0579	4.7052	4.7539	3.1697	2.5867
S1_L_T21469	5.274	5.6567	5.7539	5.9092	5.5975	5.4416	4.8678	3.3801
S1_L_T21474	4.3743	5.1248	5.4981	5.3563	5.5216	5.1073	3.3916	2.5867
S1_L_T21477	5.6284	6.018	6.8019	6.3079	6.0397	5.5378	4.7118	3.7093
S1_L_T21479	6.9364	6.8159	6.9407	6.62	6.1944	5.9055	5.1671	3.5209
S1_L_T21482	7.0319	7.081	7.4855	7.5518	7.3448	6.8501	5.9217	3.7951
S1_L_T21494	4.8033	5.5502	6.7691	6.6929	6.6335	6.6278	5.1968	3.9772
S1_L_T21512	2.9208	4.1811	5.0299	5.4005	5.5975	6.1381	4.5826	3.0947
S1_L_T21515	3.4807	4.0827	5.4981	5.0579	5.2665	5.4416	3.9756	2.5867
S1_L_T21517	5.3606	5.6567	5.72	4.8819	4.2205	4.9058	4.1066	2.5867
S1_L_T21520	5.2287	5.7558	6.2337	5.9092	5.7043	4.584	4.1066	2.7386
S1_L_T21536	4.1	4.8534	6.055	5.8466	5.5975	5.2276	4.5826	3.224
S1_L_T21537	4.2885	4.7288	6.2575	5.8143	5.3997	5.2276	4.5368	2.8496
S1_L_T21549	6.3325	6.3067	6.5743	6.3536	6.2425	5.5836	4.9043	2.8496
S1_L_T2155	2.5867	2.6264	4.4195	4.7513	5.5216	6.107	4.3901	3.224
S1_L_T21554	3.9956	4.9682	5.6498	5.4005	5.3566	4.9762	4.0426	2.5867
S1_L_T21562	5.6284	5.6905	5.787	5.9982	6.1697	5.2842	4.9399	2.9021
S1_L_T21564	3.6276	4.0827	5.6853	5.2635	4.9564	4.9762	4.1066	2.5867
S1_L_T21566	5.5568	5.5502	5.6133	5.1121	4.6349	4.9762	2.7558	2.5867
S1_L_T2157	3.6276	4.1811	5.6853	5.9395	5.7382	6.107	4.168	2.6183
S1_L_T2159	7.5478	7.6265	7.6293	7.2472	6.9839	6.4903	6.3096	4.2443
S1_L_T21626	5.4021	5.3102	5.1365	5.0579	3.3157	4.0439	3.0445	2.5867
S1_L_T21628	5.8837	5.5128	5.2358	5.3563	4.4831	4.0439	2.5867	2.5867
S1_L_T21630	5.4423	5.9358	6.3927	6.2607	6.5404	5.9055	5.5362	3.7951
S1_L_T21649	6.1741	6.0958	6.3927	6.1614	5.5216	5.628	5.1671	3.5209
S1_L_T21660	5.4815	5.5128	5.8194	5.7127	5.3566	5.1073	4.2833	3.3801
S1_L_T21678	5.3606	5.9911	6.0819	6.1354	6.2186	6.107	4.67	3.3426
S1_L_T2169	2.5867	2.5867	4.4195	4.8819	5.4415	5.7535	3.9756	3.3801
S1_L_T21710	4.922	5.4745	5.72	5.565	5.2192	5.1687	4.4896	2.7952
S1_L_T21716	4.1	5.5865	6.4763	6.2607	6.2186	6.6495	5.0741	3.3801
S1_L_T21719	4.4552	5.3531	5.6498	6.0821	5.2665	5.391	4.168	2.5867
S1_L_T21721	5.824	5.3531	6.281	6.0267	5.1704	5.1073	4.7524	2.8496
S1_L_T21741	5.6966	5.3947	5.6853	5.4851	5.1704	4.7539	4.0426	2.5867
S1_L_T21758	5.318	5.9358	6.0819	5.9395	5.9843	5.2842	3.2849	2.5867
S1_L_T2176	5.274	5.5502	5.7539	5.2635	5.3997	4.584	2.7558	2.5867
S1_L_T21764	6.289	6.4714	5.9711	5.565	5.4821	4.2847	4.3377	2.5867
S1_L_T21790	6.0493	5.2661	5.0299	5.0579	5.013	3.5849	3.6712	2.5867
S1_L_T21791	5.6284	4.6621	5.1365	5.0016	4.2205	3.1705	3.1697	2.5867
S1_L_T2180	5.6284	6.2168	7.2327	7.0109	6.3778	5.391	3.8314	2.9021
S1_L_T21802	4.8033	5.0223	5.5375	4.6813	3.7739	3.1705	3.3916	2.5867
S1_L_T2181	4.7401	4.2733	5.851	5.7812	4.8363	5.3386	3.5839	2.5867
S1_L_T21810	2.9208	2.882	4.9735	5.3106	5.4821	5.4416	3.9053	2.5867
S1_L_T21820	2.5867	3.6038	5.5375	5.4851	5.1198	5.9758	3.7535	2.5867
S1_L_T21823	5.9962	5.3531	5.4981	4.8181	5.013	3.5849	3.9756	2.5867
S1_L_T2184	4.8033	4.8534	5.787	5.6034	5.013	5.0432	3.3916	2.5867
S1_L_T21869	5.4815	5.2205	5.2829	5.2148	4.8363	4.491	3.9053	2.5867
S1_L_T21873	5.1819	4.9119	5.5759	4.3615	4.0144	2.5867	2.5867	2.5867
S1_L_T2188	3.6276	4.4416	5.6498	5.0016	4.9564	5.4416	4.2268	2.5867
S1_L_T21881	5.7932	6.0958	6.6118	6.4196	5.8038	5.4905	4.2268	3.3426
S1_L_T21888	4.1	5.2205	5.882	5.9982	5.9266	5.391	3.9756	2.5867
S1_L_T21891	6.4557	6.2398	6.8807	6.6569	6.5014	6.2559	5.31	4.0488
S1_L_T21896	5.274	5.3947	5.7539	5.1644	5.3123	5.1687	3.8314	2.5867
S1_L_T21897	6.6401	6.7692	6.2575	6.2845	6.2659	5.3386	4.9043	3.0016
S1_L_T21899	4.1	3.977	5.942	5.0579	5.2192	5.1073	3.1697	2.9021
S1_L_T21910	6.0751	5.8486	6.304	5.7127	5.2665	4.584	3.9053	2.9021
S1_L_T21913	5.824	5.5865	5.3286	5.1121	4.7722	4.3915	4.2833	2.5867
S1_L_T21914	4.3743	3.6038	5.5375	5.2148	5.013	5.1687	3.5839	2.5867
S1_L_T21917	3.6276	4.5923	5.8194	5.3563	5.1704	6.1684	4.2833	3.6796
S1_L_T21920	6.6227	6.6015	6.9554	6.7281	6.3991	6.1982	6.008	4.0488
S1_L_T21937	5.1335	5.2205	5.5759	5.5256	5.2192	4.584	2.5867	2.5867
S1_L_T2195	4.922	5.2661	5.6133	5.9092	5.56	5.5836	4.7118	3.0489
S1_L_T21955	2.9208	3.6038	5.4576	5.4005	5.3123	5.3386	4.2268	2.5867
S1_L_T21968	6.5872	6.5655	6.304	5.1121	4.1211	2.5867	2.5867	2.5867
S1_L_T21970	6.0493	5.7235	6.3267	6.5431	6.2425	6.1684	4.5368	3.0489
S1_L_T2198	5.0835	5.2205	6.2575	5.8143	5.8355	5.671	4.1066	2.5867
S1_L_T22000	6.2667	5.9358	6.4351	6.398	5.8968	5.671	4.7118	2.5867
S1_L_T22006	5.274	5.6567	5.5375	5.565	5.8038	5.0432	4.7118	3.1821
S1_L_T22007	5.6966	5.6905	5.3286	4.4483	3.7739	2.5867	2.5867	2.5867
S1_L_T22020	3.1325	4.3599	6.0276	5.7473	5.8038	5.8315	4.7118	3.4522
S1_L_T22036	4.8638	5.5502	4.7229	5.1644	4.4008	3.7547	2.5867	2.5867
S1_L_T22037	5.9126	5.5128	5.5759	4.6078	5.1198	4.7539	2.7558	2.5867
S1_L_T22046	3.4807	4.5923	5.882	5.4851	5.5975	5.3386	4.3901	2.6797
S1_L_T22047	3.3171	2.882	4.9735	5.7127	5.3566	5.8315	4.1066	2.6183
S1_L_T22060	2.5867	2.5867	5.0299	4.1703	5.634	4.8318	2.5867	2.5867
S1_L_T22065	5.7617	5.7874	5.4159	5.5256	5.0674	2.9079	2.9073	2.5867
S1_L_T22071	4.4552	4.0827	5.882	5.5256	5.6696	6.3114	4.9746	3.767
S1_L_T22076	4.1973	4.5189	5.2829	5.6771	5.56	5.628	4.6269	3.1821
S1_L_T2208	6.15	6.9889	7.337	7.1727	7.0663	6.8501	5.7518	3.7093
S1_L_T22086	5.5568	5.8486	5.8194	5.6407	5.3123	5.5836	3.9053	2.5867
S1_L_T2210	3.9956	3.7392	5.3729	5.4005	5.634	4.9762	3.5839	2.5867
S1_L_T22113	3.761	3.7392	5.8194	5.6407	4.9564	4.2847	2.5867	2.5867
S1_L_T22115	7.705	6.9193	6.6661	6.5031	6.0123	5.3386	4.5826	2.5867
S1_L_T22118	2.5867	2.5867	5.187	5.1121	5.1198	5.7535	3.6712	2.5867
S1_L_T2214	3.9956	4.0827	5.6498	5.5256	5.56	5.7535	4.5826	3.0489
S1_L_T22143	5.4815	5.4352	4.9735	5.0579	3.8992	3.5849	3.0445	2.5867
S1_L_T2215	4.1973	4.2733	5.6853	4.943	4.8363	5.2276	3.0445	2.5867
S1_L_T22155	5.593	5.0744	5.882	5.7127	5.7382	5.8689	4.5826	3.0489
S1_L_T22166	2.5867	2.5867	3.7953	4.2691	5.013	6.0098	3.3916	2.8496
S1_L_T22178	5.7617	5.3102	4.9149	5.2635	4.7722	4.6715	3.3916	2.5867
S1_L_T2218	4.5319	5.5502	6.4351	6.6386	6.9408	6.6058	5.9568	4.7528
S1_L_T22183	2.9208	4.7924	6.0276	6.2119	5.9843	6.5376	4.0426	2.5867
S1_L_T22199	2.5867	2.5867	4.9735	5.1644	5.0674	5.7129	4.3901	3.2646
S1_L_T222	4.674	4.5923	6.281	5.8782	5.634	6.0429	4.6269	3.224
S1_L_T22205	5.6284	4.7924	4.5792	3.9499	4.1211	3.3925	2.5867	2.5867
S1_L_T22226	5.318	5.0223	5.2829	5.1644	5.4415	4.6715	3.8314	2.5867
S1_L_T22249	5.1819	5.4745	5.5375	6.1354	5.3997	5.2276	4.3377	3.0947
S1_L_T22261	4.5319	5.3531	6.4351	6.2845	5.9557	5.8315	4.7524	3.2646
S1_L_T22265	5.4423	4.7288	5.2358	4.6813	4.3134	3.3925	2.7558	2.5867
S1_L_T22267	2.5867	2.5867	4.1409	4.6813	4.7722	5.2842	2.5867	3.3426
S1_L_T22268	5.9689	6.432	6.1343	6.2845	5.8355	5.391	5.1368	3.6796
S1_L_T22274	5.5197	5.8783	5.6853	5.4851	3.6367	3.9065	3.0445	2.5867
S1_L_T22283	6.1741	6.1208	5.787	5.4851	5.4415	5.1073	3.5839	2.9527
S1_L_T22317	6.15	5.8783	5.6853	5.565	5.1198	4.0439	4.0426	2.5867
S1_L_T22330	6.0751	5.6905	5.3729	5.3106	5.013	4.1693	3.5839	2.5867
S1_L_T22338	4.5319	4.5189	5.4159	5.2148	5.4821	5.1073	4.168	2.5867
S1_L_T22375	4.7401	4.3599	5.7539	4.4483	4.7052	5.2842	4.3901	2.5867
S1_L_T22377	3.761	4.5923	7.0402	7.1469	7.0928	7.733	5.7717	4.3425
S1_L_T22397	5.1335	5.3947	5.4576	5.3563	5.2665	4.7539	4.1066	3.6492
S1_L_T22412	4.7401	5.4745	5.4981	5.4005	5.1704	5.0432	4.9746	2.9527
S1_L_T22418	3.4807	3.977	5.6498	5.5256	5.9557	6.0429	4.9043	2.9021
S1_L_T22434	5.4021	5.5128	5.4576	5.3106	5.1704	5.0432	3.8314	2.5867
S1_L_T22444	6.0751	6.018	5.9711	5.7127	5.7382	4.7539	4.0426	2.5867
S1_L_T22448	3.761	3.863	5.6853	5.4434	5.3997	4.9762	3.6712	2.5867
S1_L_T22455	5.9962	5.4352	5.187	4.7513	5.4415	4.491	3.3916	2.5867
S1_L_T22456	6.3109	6.0958	6.3267	5.9692	5.1198	4.584	4.3901	2.5867
S1_L_T22472	5.0316	5.3947	5.3729	5.4434	5.0674	5.0432	3.7535	2.5867
S1_L_T22490	5.8541	5.2205	4.5792	4.3615	3.1238	3.3925	2.5867	2.5867
S1_L_T22492	5.9962	5.7558	6.5932	5.5256	5.3997	4.7539	4.3377	2.8496
S1_L_T22507	3.761	3.4543	5.4981	5.4434	5.3997	5.9758	4.9043	3.6182
S1_L_T2251	3.8831	4.5923	5.5375	5.3106	5.3123	5.391	4.0426	2.7386
S1_L_T22511	4.6047	4.3599	6.1343	5.7473	5.7382	5.9411	5.226	3.767
S1_L_T22512	7.2631	7.0025	7.0808	6.9377	6.5595	6.5376	6.0895	4.6795
S1_L_T22521	4.1973	4.7924	5.6853	5.1644	5.1198	4.6715	3.9756	3.0947
S1_L_T22527	5.5568	5.4745	5.1365	5.3106	4.2205	4.2847	4.3377	2.5867
S1_L_T2253	5.4021	4.7288	4.5792	4.5303	3.3157	2.5867	2.5867	2.5867
S1_L_T22536	5.2287	5.4745	5.5375	6.1354	5.6696	5.671	4.5826	3.1821
S1_L_T2255	4.674	5.1734	5.7539	5.6407	5.3566	5.1687	4.5368	2.5867
S1_L_T22550	4.674	4.6621	5.2829	5.1121	5.5216	5.391	4.5826	3.3041
S1_L_T22560	3.6276	3.863	5.4981	5.2148	4.9564	4.7539	4.2833	2.5867
S1_L_T22565	4.5319	5.6567	6.1084	6.5431	5.7714	6.0429	5.5592	4.2645
S1_L_T22570	6.4158	6.6539	7.0808	6.9821	7.1694	6.8122	6.0895	4.7811
S1_L_T22574	2.6725	4.0827	5.8194	5.6407	6.0931	5.628	4.168	2.6797
S1_L_T22578	5.7617	5.8783	6.371	6.2607	6.2659	6.3114	5.2545	3.9526
S1_L_T22585	4.922	4.9682	5.4576	5.0016	4.8976	4.9058	4.3377	2.6183
S1_L_T22601	6.5508	6.3707	5.9711	5.5256	5.7043	5.1687	4.0426	3.0016
S1_L_T22605	3.6276	4.5923	4.3324	5.3106	5.0674	5.4905	4.8678	2.9527
S1_L_T22623	6.2441	6.0703	6.304	5.8143	5.6696	5.3386	4.2833	2.5867
S1_L_T22640	6.023	6.1208	6.7525	6.2845	6.1697	6.5141	5.3894	3.7093
S1_L_T22642	4.8033	4.7288	5.9711	5.565	5.2665	4.9762	3.9053	2.5867
S1_L_T22651	5.824	5.2661	5.3729	5.4851	4.8976	3.5849	3.4909	2.6797
S1_L_T22654	6.8642	6.7532	6.9699	6.6569	6.4409	5.8315	5.1058	2.7386
S1_L_T22665	3.8831	4.9682	5.6133	5.7473	5.8038	5.4416	4.8678	3.3801
S1_L_T22667	6.6227	6.1454	6.304	5.9395	5.4415	4.8318	4.4407	3.6182
S1_L_T22668	6.023	5.8783	6.3927	6.62	6.5014	6.2273	5.226	3.9275
S1_L_T2268	4.2885	4.7288	5.942	5.565	5.3997	6.0429	4.8678	2.9021
S1_L_T22684	3.6276	4.6621	5.9123	5.6034	6.0667	6.107	4.67	3.6492
S1_L_T22685	5.593	5.5128	5.6853	5.2635	4.4831	4.2847	4.3377	2.5867
S1_L_T22686	4.1973	5.1248	5.2829	5.6771	5.1704	4.8318	3.5839	2.5867
S1_L_T22688	6.1978	5.9358	5.9711	5.4851	5.2192	4.491	4.9043	2.5867
S1_L_T22698	4.922	5.3531	6.4964	6.2119	6.2425	6.0098	4.8303	3.6796
S1_L_T22706	6.5691	6.1696	5.9711	5.4851	4.9564	3.5849	3.3916	2.5867
S1_L_T22732	8.1069	7.7031	7.6384	7.1207	6.7378	6.4903	5.7112	4.0719
S1_L_T22735	4.5319	5.4352	5.5759	5.1121	5.1198	4.1693	4.0426	2.5867
S1_L_T22739	6.3747	6.0703	5.72	5.7473	5.8038	5.4416	4.4896	2.7386
S1_L_T22740	5.9962	5.6567	5.4576	5.3106	5.013	3.9065	3.6712	2.5867
S1_L_T22767	6.6401	6.6709	6.7856	6.675	6.0667	6.107	5.5362	4.117
S1_L_T22782	7.1582	6.8005	6.8339	6.7281	6.7209	5.9411	5.6904	3.6796
S1_L_T22788	6.6743	7.0423	7.1962	7.4291	7.0928	6.8501	6.4271	4.795
S1_L_T22798	3.6276	4.0827	5.3286	5.565	5.0674	5.2276	4.1066	2.6183
S1_L_T22802	3.3171	2.882	5.4576	5.7127	5.8038	6.3648	4.168	2.9021
S1_L_T22807	6.7404	6.6709	6.5932	6.398	6.6866	6.4163	5.5819	3.5541
S1_L_T22811	5.824	5.5128	5.2829	5.2635	4.4008	4.0439	3.9053	2.5867
S1_L_T22817	4.1	4.5189	5.4981	5.565	5.56	5.9758	4.7118	2.7952
S1_L_T22839	2.5867	2.882	5.3729	5.0016	5.2665	5.8689	3.3916	2.8496
S1_L_T2284	5.1819	5.5502	5.6133	5.6407	4.7722	4.7539	3.9756	2.5867
S1_L_T22846	6.1741	6.3497	6.3267	5.8782	5.7043	5.8689	5.0417	3.4522
S1_L_T22848	6.8642	5.9358	6.1084	5.5256	5.3123	4.3915	4.3901	2.5867
S1_L_T22854	4.922	4.9119	5.882	6.0821	5.7043	5.9055	4.8303	3.0947
S1_L_T22887	5.0835	5.0744	5.9996	5.1644	5.1198	4.8318	4.3901	2.5867
S1_L_T22914	6.5508	5.7874	6.304	5.4434	3.6367	2.9079	3.1697	2.5867
S1_L_T22963	6.2212	6.5655	6.2337	5.9692	5.9266	5.5378	4.5368	3.5541
S1_L_T22970	4.674	4.8534	5.6853	4.8181	5.1704	4.491	3.8314	2.5867
S1_L_T22973	5.318	5.622	5.4981	5.0579	3.6367	3.5849	2.5867	2.5867
S1_L_T22974	5.9689	5.9358	6.055	5.0579	4.2205	3.7547	3.6712	2.5867
S1_L_T22985	6.1978	5.6905	6.304	6.2845	5.8665	5.4416	4.5826	3.224
S1_L_T22986	6.3325	6.7372	6.7856	6.6569	6.6691	6.0429	5.1968	3.5541
S1_L_T22991	2.5867	3.099	5.4576	5.6034	6.0123	6.6058	4.2833	3.4522
S1_L_T22993	6.15	5.5865	5.72	5.3563	4.8363	4.584	3.5839	2.5867
S1_L_T23040	5.3606	5.622	6.0276	5.8466	5.8665	5.9758	5.0417	3.3426
S1_L_T23052	3.8831	5.2205	5.7539	5.6034	5.3123	5.3386	3.7535	3.1391
S1_L_T23062	5.593	5.4352	4.9735	4.1703	4.6349	3.5849	2.5867	2.5867
S1_L_T23063	4.9778	5.5502	6.1849	5.8143	5.7043	5.628	4.2833	2.6797
S1_L_T2307	6.6743	6.3707	6.926	7.0109	6.3991	6.5376	5.648	4.0488
S1_L_T23095	5.8837	5.3102	5.9996	5.7473	4.8976	4.9058	4.2833	2.5867
S1_L_T23105	6.6227	6.3914	6.6661	6.7106	6.0667	5.7535	5.5592	3.902
S1_L_T23147	3.1325	4.6621	5.7539	5.7127	5.2665	5.2842	4.5368	2.5867
S1_L_T23162	5.4423	5.3947	6.1849	5.8466	6.1944	5.628	5.9217	4.9649
S1_L_T23177	5.4423	4.9119	5.2829	5.565	5.3123	5.0432	4.1066	3.224
S1_L_T23197	6.7881	6.4518	6.281	5.9982	5.9266	5.0432	4.168	2.5867
S1_L_T23205	8.6531	8.4345	8.2795	7.7529	7.1941	6.2839	5.7112	4.0488
S1_L_T23207	4.1	4.6621	5.5375	5.0016	5.3566	5.2276	4.4407	3.4166
S1_L_T2321	3.1325	3.863	5.0299	5.1121	5.4415	5.1687	3.9053	2.6183
