id	1hr	2hr	3hr	4hr	5hr	6hr	7hr	9hr
S0_M_T171	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T172	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T173	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T175	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T176	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T177	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T179	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T180	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T181	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T182	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T191	5.6284	5.2661	6.0819	5.6407	5.7043	5.4905	4.7118	3.6182
S0_M_T194	5.318	5.622	6.371	6.0547	5.7714	5.5378	4.6269	4.0719
S0_M_T217	3.9956	5.1248	6.0276	5.5256	5.8665	5.9411	5.4889	4.117
S0_M_T236	5.6284	5.2661	6.0819	5.6407	5.7043	5.4905	4.7118	3.6182
S0_M_T239	5.318	5.622	6.371	6.0547	5.7714	5.5378	4.6269	4.0719
S0_M_T252	4.1973	4.1811	5.6133	5.4005	5.013	5.1073	3.9756	2.5867
S0_M_T259	3.9956	4.3599	5.882	5.1121	5.0674	5.5836	4.5368	2.9527
S0_M_T263	3.9956	4.3599	5.882	5.1121	5.0674	5.5836	4.5368	2.9527
S0_M_T298	6.3109	6.3707	6.7356	6.675	6.2659	6.107	5.44	4.5864
S0_M_T343	4.4552	5.7235	5.6853	5.6407	5.1198	4.6715	4.5368	2.9527
S0_M_T346	2.6725	4.0827	5.7539	6.3079	6.3778	6.9757	5.3634	4.3614
S0_M_T353	4.4552	5.7235	5.6853	5.6407	5.1198	4.6715	4.5368	2.9527
S0_M_T355	2.6725	4.0827	5.7539	6.3079	6.3778	6.9757	5.3634	4.3614
S0_M_T357	4.4552	5.7235	5.6853	5.6407	5.1198	4.6715	4.5368	2.9527
S0_M_T359	2.6725	4.0827	5.7539	6.3079	6.3778	6.9757	5.3634	4.3614
S0_M_T403	4.8638	5.0223	5.5375	5.6034	5.1198	4.1693	4.2268	2.6797
S0_M_T407	5.0835	5.1734	5.9123	5.4434	4.3134	4.1693	2.5867	2.5867
S0_M_T431	5.1819	5.2205	5.7539	5.9092	5.4415	5.2842	4.5826	3.3801
S0_M_T432	7.109	6.8311	6.911	6.7281	5.8968	5.8689	5.4889	3.3801
S0_M_T459	5.2287	5.622	5.4576	4.8819	3.8992	3.1705	2.5867	2.5867
S0_M_T462	6.2441	6.4907	6.9699	6.8286	6.5014	6.8688	6.1816	4.4344
S0_M_T463	5.6284	5.6905	6.5743	5.9692	5.5216	5.5378	4.9746	3.0016
S0_M_T464	5.8541	6.3284	6.304	5.7812	5.7043	5.0432	5.2545	3.4522
S0_M_T466	6.9505	6.6878	6.5743	6.3079	5.9266	5.628	4.8678	3.224
S0_M_T468	6.1741	6.5286	6.8019	6.9377	6.4614	6.2559	5.8856	4.2031
S0_M_T469	5.593	5.6905	5.8194	5.7473	5.2192	5.391	4.9043	4.0488
S0_M_T47	6.8036	6.3914	6.8339	6.62	6.3991	5.9411	5.4889	3.9275
S0_M_T470	6.7881	7.0291	7.5055	6.5233	6.1944	5.2842	5.1671	3.7951
S0_M_T471	4.8638	4.7924	5.6498	5.4005	4.9564	5.1687	4.5826	2.7952
S0_M_T474	5.4021	5.3102	5.9996	5.6407	4.9564	6.0429	5.1368	3.8495
S0_M_T475	7.2174	6.3914	6.0819	5.4005	4.3134	3.1705	3.0445	2.5867
S0_M_T478	5.1335	5.4352	6.1343	5.8466	6.0123	5.793	5.1058	3.4166
S0_M_T479	5.4815	5.7235	5.2829	5.6407	5.0674	5.1687	4.2268	3.0016
S0_M_T48	5.0835	5.9358	6.7013	6.6929	6.1944	6.4661	5.9037	4.4869
S0_M_T482	5.941	5.5865	5.4159	4.6813	5.0674	4.2847	3.8314	2.5867
S0_M_T486	5.6966	5.4352	6.0276	5.5256	5.3123	4.9058	4.7118	3.224
S0_M_T487	5.6966	5.4352	6.0276	5.5256	5.3123	4.9058	4.7118	3.224
S0_M_T491	5.5197	5.5128	5.4159	5.8466	5.3997	5.3386	4.7524	2.6797
S0_M_T492	6.2441	6.4907	6.9699	6.8286	6.5014	6.8688	6.1816	4.4344
S0_M_T497	6.2441	6.4907	6.9699	6.8286	6.5014	6.8688	6.1816	4.4344
S0_M_T498	5.6966	5.4352	6.0276	5.5256	5.3123	4.9058	4.7118	3.224
S0_M_T499	8.4607	8.4788	8.4285	8.2283	7.7543	7.5491	7.2539	5.6102
S0_M_T500	5.1335	5.1248	6.3927	6.1869	5.8355	6.2273	5.44	4.3984
S0_M_T501	7.109	6.7209	6.818	6.2845	6.2425	5.9411	5.7913	3.8495
S0_M_T504	5.4021	5.0744	4.5792	4.6078	4.1211	2.5867	3.3916	2.5867
S0_M_T505	6.3954	5.5128	5.4981	4.6078	3.7739	2.5867	2.5867	2.5867
S0_M_T513	2.6725	2.882	4.9735	4.5303	5.56	5.628	3.5839	3.1391
S0_M_T533	5.7932	5.5502	6.0276	5.5256	5.013	4.9058	4.0426	3.0489
S0_M_T537	2.5867	2.5867	2.5867	3.1822	3.4852	4.9762	3.7535	3.3801
S0_M_T539	5.4423	5.2205	5.1365	4.6078	4.7052	4.491	4.3901	2.9527
S0_M_T541	4.8033	5.3947	5.2358	4.2691	4.3134	4.6715	3.0445	2.5867
S0_M_T552	5.1819	3.6038	4.1409	4.8819	4.561	3.7547	4.2833	3.4522
S0_M_T56	5.5568	5.7558	6.0819	5.7812	5.634	5.7535	4.7118	3.224
S0_M_T58	4.1973	4.5923	5.6498	4.6813	5.0674	5.0432	4.6269	3.3041
