id	dg	x0	t0	mse	rsq
S1_L_T8493	0.39034	6.7812	1	0.43758	0.68462
S1_L_T8498	0.28647	5.8341	1	0.39001	0.56744
S1_L_T8507	0.53595	7.157	1	0.084335	0.95502
S1_L_T8508	0.2328	6.8698	1	0.83949	0.28698
S1_L_T8519	0.45911	7.3173	1	0.097959	0.93063
S1_L_T8525	0.1	4.3006	1	1.9361	0.11212
S1_L_T8537	0.33149	5.6781	1	0.14582	0.8245
S1_L_T8568	0.1	3.8298	1	1.6821	0.001985
S1_L_T8575	0.35969	6.2906	1	0.27385	0.74654
S1_L_T8593	0.1	4.3906	1	1.1692	0.022606
S1_L_T8601	0.2903	6.2446	1	0.33752	0.60886
S1_L_T8612	0.39623	7.1857	1	0.41467	0.70241
S1_L_T862	0.39484	5.9402	1	0.43516	0.69073
S1_L_T8620	0.1	4.6951	1	0.78638	0.00079331
S1_L_T8635	0.32805	6.0722	1	0.2663	0.71587
S1_L_T8641	0.41021	6.8929	1	0.40622	0.72086
S1_L_T8642	0.34	5.8027	1	0.25585	0.738
S1_L_T8647	0.23126	6.3875	1	0.20416	0.62023
S1_L_T8666	0.19297	6.4492	1	0.40811	0.36259
S1_L_T868	0.24949	5.8929	1	0.26649	0.59287
S1_L_T8681	0.2656	5.6723	1	0.38574	0.53274
S1_L_T8689	0.41899	6.9537	1	0.47971	0.69526
S1_L_T8694	0.30382	5.6338	1	0.23361	0.71126
S1_L_T8700	0.24178	5.6977	1	0.40823	0.47166
S1_L_T8729	0.1	4.5257	1	1.6129	0.0042927
S1_L_T8737	0.26894	6.6961	1	0.22441	0.6677
S1_L_T8738	0.45071	6.64	1	0.086445	0.9361
S1_L_T8757	0.35289	6.0388	1	0.18174	0.81031
S1_L_T8777	0.22313	6.4639	1	0.17932	0.63382
S1_L_T8807	0.33155	5.7192	1	0.33826	0.66954
S1_L_T8811	0.1	6.2558	1	1.1969	0.0086728
S1_L_T8812	0.30385	5.9146	1	0.15929	0.78324
S1_L_T8813	0.37157	5.5331	1	0.12137	0.87642
S1_L_T8827	0.1	4.5111	1	1.0196	6.5443e-05
S1_L_T8832	0.1	4.8707	1	0.39215	0.010487
S1_L_T8833	0.1	6.2558	1	1.1969	0.0086728
S1_L_T8835	0.46929	7.9513	1	0.20009	0.8728
S1_L_T8845	0.32439	6.3037	1	0.21663	0.75176
S1_L_T8869	0.1	4.573	1	0.86019	0.0026723
S1_L_T8879	0.19122	5.5282	1	0.74633	0.23398
S1_L_T8880	0.1	6.7915	1	0.50358	0.074391
S1_L_T8895	0.1	5.3436	1	1.2871	0.010139
S1_L_T8898	0.1619	7.0146	1	0.36209	0.31095
S1_L_T8908	0.24683	4.9076	1	0.22293	0.63015
S1_L_T8911	0.14065	5.4337	1	0.64806	0.15988
S1_L_T8926	0.1	4.0965	1	1.2641	0.28267
S1_L_T8938	0.33228	5.7588	1	0.2652	0.72188
S1_L_T8984	0.1	5.7748	1	0.51429	0.040915
S1_L_T8985	0.1	4.903	1	0.38913	0.0012527
S1_L_T9006	0.11796	5.9863	1	0.88623	0.089159
S1_L_T902	0.30123	7.4496	1	0.33306	0.62942
S1_L_T9027	0.37499	7.0979	1	0.058385	0.93756
S1_L_T904	0.1	6.0179	1	0.7422	0.030298
S1_L_T9040	0.35226	7.0699	1	0.1382	0.84843
S1_L_T9051	0.36273	5.4913	1	0.032555	0.96183
S1_L_T9058	0.1	3.7084	1	1.3364	0.13931
S1_L_T9060	0.45147	6.56	1	0.084176	0.93787
S1_L_T9061	0.35312	5.5553	1	0.073013	0.91415
S1_L_T9070	0.37342	6.3153	1	0.10489	0.89234
S1_L_T9083	0.18268	5.529	1	0.62463	0.24985
S1_L_T9089	0.28649	6.8907	1	0.66016	0.43666
S1_L_T9094	0.1	5.311	1	1.5704	0.026205
S1_L_T9101	0.35505	6.0051	1	0.15584	0.83452
S1_L_T9106	0.35157	6.7587	1	0.30714	0.71501
S1_L_T9113	0.27946	6.8741	1	0.60651	0.4453
S1_L_T9114	0.20468	5.2797	1	0.4409	0.37201
S1_L_T9131	0.1	5.1873	1	0.70259	0.016551
S1_L_T9158	0.19654	5.5498	1	0.55295	0.3034
S1_L_T9164	0.25243	5.6512	1	0.23458	0.62874
S1_L_T9178	0.18051	5.1291	1	0.53651	0.27463
S1_L_T9191	0.12652	5.4334	1	0.20325	0.32932
S1_L_T9208	0.1	4.1109	1	1.2845	0.0301
S1_L_T9232	0.38678	5.84	1	0.12997	0.87769
S1_L_T9240	0.35493	5.869	1	0.20272	0.79484
S1_L_T9265	0.15461	5.2856	1	0.8902	0.1434
