id	dg	x0	t0	mse	rsq
EMPTY	0.39236	14.1684	1	0.24308	0.85264
S0_M_T10	0.33396	6.3728	1	0.12299	0.8923
S0_M_T1002	0.40975	6.7885	1	0.066975	0.95816
S0_M_T1006	0.38772	6.6489	1	0.18615	0.88063
S0_M_T1008	0.27823	5.3386	1	0.11109	0.86425
S0_M_T1009	0.33716	5.8602	1	0.078516	0.92971
S0_M_T1013	0.41259	7.311	1	0.2152	0.87845
S0_M_T1014	0.34561	6.1765	1	0.046475	0.95915
S0_M_T1017	0.30187	5.7578	1	0.043309	0.95055
S0_M_T102	0.24567	5.9669	1	0.12888	0.81054
S0_M_T1022	0.38272	6.9176	1	0.1407	0.90486
S0_M_T1027	0.40921	6.9789	1	0.14852	0.91151
S0_M_T1029	0.36999	6.1856	1	0.053783	0.95877
S0_M_T1032	0.29755	5.9483	1	0.062217	0.92858
S0_M_T1034	0.32689	6.426	1	0.1331	0.88001
S0_M_T1039	0.51817	8.1847	1	0.22914	0.91457
S0_M_T1041	0.34606	7.0208	1	0.4739	0.69777
S0_M_T1047	0.52363	9.2982	1	0.46024	0.84478
S0_M_T1048	0.48758	7.4607	1	0.064152	0.97131
S0_M_T1050	0.48539	8.4808	1	0.61379	0.77811
S0_M_T1051	0.33845	6.622	1	0.21629	0.82872
S0_M_T1052	0.46578	7.2814	1	0.089314	0.95688
S0_M_T1055	0.37625	6.6659	1	0.073936	0.94592
S0_M_T1056	0.30098	5.9121	1	0.084215	0.90764
S0_M_T1059	0.52463	9.5195	1	0.68043	0.78703
S0_M_T1063	0.32961	6.0104	1	0.06043	0.94261
S0_M_T1065	0.3828	7.2256	1	0.48574	0.73377
S0_M_T1072	0.39397	6.6654	1	0.1994	0.87672
S0_M_T1073	0.31974	6.293	1	0.21893	0.81011
S0_M_T1075	0.3258	5.7746	1	0.064815	0.93735
S0_M_T1076	0.31485	5.952	1	0.14873	0.85893
S0_M_T1082	0.39564	6.7468	1	0.064469	0.95686
S0_M_T1083	0.41656	7.159	1	0.28561	0.84734
S0_M_T109	0.35389	6.4874	1	0.10347	0.91706
S0_M_T1090	0.31845	6.2059	1	0.14595	0.8639
S0_M_T1091	0.39477	6.5732	1	0.044417	0.96975
S0_M_T1093	0.38678	6.5888	1	0.038243	0.97278
S0_M_T1096	0.52587	8.5032	1	0.31685	0.88856
S0_M_T1100	0.40457	6.6299	1	0.092193	0.94193
S0_M_T1105	0.38795	7.452	1	0.65579	0.67708
S0_M_T1107	0.47576	8.3755	1	0.30733	0.87061
S0_M_T1110	0.34182	6.4241	1	0.14534	0.88016
S0_M_T1113	0.32777	5.9911	1	0.18236	0.84331
S0_M_T1116	0.32146	6.3129	1	0.091513	0.91163
S0_M_T1117	0.43019	7.5617	1	0.2223	0.8838
S0_M_T1119	0.3029	5.7899	1	0.077072	0.91579
S0_M_T1125	0.45668	7.283	1	0.23762	0.88912
S0_M_T1126	0.38738	6.6345	1	0.088907	0.9391
S0_M_T1135	0.3764	6.989	1	0.29774	0.81299
S0_M_T1136	0.32258	6.2464	1	0.13266	0.87754
S0_M_T1143	0.41012	8.3789	1	0.38478	0.79974
S0_M_T1145	0.41058	7.1245	1	0.11636	0.92975
S0_M_T1149	0.34582	6.5684	1	0.15997	0.87228
S0_M_T1150	0.41327	6.7592	1	0.047502	0.97046
S0_M_T1151	0.3323	7.3743	1	1.6795	0.37524
S0_M_T1152	0.27262	6.7553	1	1.4653	0.31663
S0_M_T1153	0.2456	6.2582	1	0.88962	0.3825
S0_M_T1154	0.36449	6.4792	1	0.087763	0.93257
S0_M_T1158	0.5389	8.1921	1	0.12167	0.95615
S0_M_T1162	0.37807	6.4898	1	0.082474	0.94059
S0_M_T117	0.37106	6.0758	1	0.16837	0.88195
S0_M_T1176	0.27166	5.1353	1	0.21668	0.75678
S0_M_T118	0.48377	7.3111	1	0.020892	0.99032
S0_M_T119	0.40378	6.8277	1	0.12446	0.92289
S0_M_T1194	0.3007	5.572	1	0.071084	0.92076
S0_M_T1205	0.35756	6.0837	1	0.10696	0.91611
S0_M_T1208	0.28037	5.4021	1	0.072937	0.9078
S0_M_T121	0.53394	8.1618	1	0.1341	0.95103
S0_M_T1210	0.24094	7.2056	1	0.12708	0.80671
S0_M_T1211	0.45792	7.5112	1	0.18932	0.91006
S0_M_T1212	0.46326	7.6997	1	0.17832	0.91663
S0_M_T1213	0.33885	8.1192	1	0.10841	0.90633
S0_M_T1214	0.47348	7.5623	1	0.10069	0.95314
S0_M_T1215	0.43056	9.3348	1	0.16045	0.91346
S0_M_T1216	0.39541	6.3552	1	0.10517	0.93142
S0_M_T1217	0.42387	7.0959	1	0.042632	0.97468
S0_M_T1218	0.29515	6.3001	1	0.14695	0.84414
S0_M_T1219	0.47685	8.346	1	0.14679	0.934
S0_M_T1220	0.26234	5.3115	1	0.07364	0.89516
S0_M_T1221	0.2638	5.5794	1	0.0642	0.90828
S0_M_T1222	0.33823	6.2889	1	0.042245	0.96115
S0_M_T123	0.35587	6.076	1	0.05267	0.95646
S0_M_T1243	0.3439	5.7522	1	0.13256	0.89072
S0_M_T1251	0.31738	5.5161	1	0.151	0.85904
S0_M_T1252	0.30222	5.3872	1	0.16871	0.83182
S0_M_T1263	0.38457	6.0165	1	0.20907	0.866
S0_M_T1279	0.43779	7.3685	1	0.16058	0.91599
S0_M_T1280	0.46667	9.3593	1	0.20835	0.90521
S0_M_T13	0.27905	5.5515	1	0.026396	0.96422
S0_M_T1305	0.35995	6.1236	1	0.049803	0.95962
S0_M_T1306	0.39673	6.4982	1	0.059128	0.9605
S0_M_T1309	0.44424	7.1817	1	0.1209	0.93716
S0_M_T1313	0.32343	5.7084	1	0.10262	0.90303
S0_M_T1314	0.45475	7.2936	1	0.096921	0.9512
S0_M_T137	0.41507	8.8112	1	0.086511	0.9479
