id,dg
S0_M_T10,0.33396
S0_M_T1002,0.40975
S0_M_T1006,0.38772
S0_M_T1008,0.27823
S0_M_T1009,0.33716
S0_M_T1013,0.41259
S0_M_T1014,0.34561
S0_M_T1017,0.30187
S0_M_T102,0.24567
S0_M_T1022,0.38272
S0_M_T1027,0.40921
S0_M_T1029,0.36999
S0_M_T1032,0.29755
S0_M_T1034,0.32689
S0_M_T1039,0.51817
S0_M_T1041,0.34606
S0_M_T1047,0.52363
S0_M_T1048,0.48758
S0_M_T1050,0.48539
S0_M_T1051,0.33845
S0_M_T1052,0.46578
S0_M_T1055,0.37625
S0_M_T1056,0.30098
S0_M_T1059,0.52463
S0_M_T1063,0.32961
S0_M_T1065,0.3828
S0_M_T1072,0.39397
S0_M_T1073,0.31974
S0_M_T1075,0.3258
S0_M_T1076,0.31485
S0_M_T1082,0.39564
S0_M_T1083,0.41656
S0_M_T109,0.35389
S0_M_T1090,0.31845
S0_M_T1091,0.39477
S0_M_T1093,0.38678
S0_M_T1096,0.52587
S0_M_T1100,0.40457
S0_M_T1105,0.38795
S0_M_T1107,0.47576
S0_M_T1110,0.34182
S0_M_T1113,0.32777
S0_M_T1116,0.32146
S0_M_T1117,0.43019
S0_M_T1119,0.3029
S0_M_T1125,0.45668
S0_M_T1126,0.38738
S0_M_T1135,0.3764
S0_M_T1136,0.32258
S0_M_T1143,0.41012
S0_M_T1145,0.41058
S0_M_T1149,0.34582
S0_M_T1150,0.41327
S0_M_T1151,0.3323
S0_M_T1152,0.27262
S0_M_T1153,0.2456
S0_M_T1154,0.36449
S0_M_T1158,0.5389
S0_M_T1162,0.37807
S0_M_T117,0.37106
S0_M_T1176,0.27166
S0_M_T118,0.48377
S0_M_T119,0.40378
S0_M_T1194,0.3007
S0_M_T1205,0.35756
S0_M_T1208,0.28037
S0_M_T121,0.53394
S0_M_T1210,0.24094
S0_M_T1211,0.45792
S0_M_T1212,0.46326
S0_M_T1213,0.33885
S0_M_T1214,0.47348
S0_M_T1215,0.43056
S0_M_T1216,0.39541
S0_M_T1217,0.42387
S0_M_T1218,0.29515
S0_M_T1219,0.47685
S0_M_T1220,0.26234
S0_M_T1221,0.2638
S0_M_T1222,0.33823
S0_M_T123,0.35587
S0_M_T1243,0.3439
S0_M_T1251,0.31738
S0_M_T1252,0.30222
S0_M_T1263,0.38457
S0_M_T1279,0.43779
S0_M_T1280,0.46667
S0_M_T13,0.27905
S0_M_T1305,0.35995
S0_M_T1306,0.39673
S0_M_T1309,0.44424
S0_M_T1313,0.32343
S0_M_T1314,0.45475
S0_M_T137,0.41507
S0_M_T138,0.27855
S0_M_T140,0.51154
S0_M_T142,0.41507
S0_M_T145,0.51154
S0_M_T148,0.51154
S0_M_T149,0.41507
S0_M_T15,0.35704
S0_M_T150,0.27855
S0_M_T152,0.38345
S0_M_T153,0.41507
S0_M_T155,0.51154
S0_M_T156,0.41507
S0_M_T157,0.27855
S0_M_T159,0.51154
S0_M_T161,0.41507
S0_M_T162,0.27855
S0_M_T164,0.51154
S0_M_T169,0.51154
S0_M_T170,0.41507
S0_M_T171,0.51154
S0_M_T172,0.41507
S0_M_T173,0.27855
S0_M_T175,0.51154
S0_M_T176,0.41507
S0_M_T177,0.2961
S0_M_T179,0.51154
S0_M_T180,0.27855
S0_M_T181,0.41507
S0_M_T182,0.27855
S0_M_T19,0.34229
S0_M_T191,0.4425
S0_M_T192,0.32674
S0_M_T193,0.44991
S0_M_T194,0.37462
S0_M_T195,0.31339
S0_M_T198,0.14812
S0_M_T207,0.43586
S0_M_T221,0.14812
S0_M_T223,0.43586
S0_M_T228,0.43586
S0_M_T236,0.4425
S0_M_T237,0.32553
S0_M_T238,0.44991
S0_M_T239,0.37462
S0_M_T243,0.14812
S0_M_T244,0.28429
S0_M_T245,0.29797
S0_M_T252,0.43586
S0_M_T259,0.3031
S0_M_T26,0.32138
S0_M_T261,0.32261
S0_M_T263,0.3031
S0_M_T265,0.42276
S0_M_T266,0.33295
S0_M_T268,0.42276
S0_M_T270,0.42276
S0_M_T271,0.33295
S0_M_T289,0.42276
S0_M_T29,0.31107
S0_M_T291,0.42276
S0_M_T292,0.33295
S0_M_T296,0.41788
S0_M_T298,0.41788
S0_M_T299,0.33131
S0_M_T31,0.34281
S0_M_T32,0.38935
S0_M_T321,0.29487
S0_M_T337,0.323
S0_M_T341,0.43113
S0_M_T348,0.34287
S0_M_T35,0.33208
S0_M_T351,0.323
S0_M_T353,0.31242
S0_M_T355,0.46279
S0_M_T357,0.31242
S0_M_T359,0.46279
S0_M_T369,0.3396
S0_M_T370,0.3595
S0_M_T383,0.36581
S0_M_T396,0.32195
S0_M_T399,0.27892
S0_M_T400,0.30023
S0_M_T403,0.43272
S0_M_T407,0.30862
S0_M_T42,0.33116
S0_M_T427,0.28424
S0_M_T428,0.34313
S0_M_T431,0.36781
S0_M_T432,0.47131
S0_M_T459,0.2776
S0_M_T46,0.25835
S0_M_T460,0.41608
S0_M_T461,0.31211
S0_M_T463,0.44499
S0_M_T464,0.38451
S0_M_T466,0.41608
S0_M_T467,0.40402
S0_M_T468,0.42966
S0_M_T469,0.30481
S0_M_T47,0.29252
S0_M_T470,0.44556
S0_M_T471,0.33272
S0_M_T474,0.3283
S0_M_T475,0.43652
S0_M_T478,0.40297
S0_M_T480,0.32522
S0_M_T481,0.31591
S0_M_T482,0.33029
S0_M_T489,0.41818
S0_M_T491,0.37517
S0_M_T497,0.36372
S0_M_T499,0.43752
S0_M_T500,0.29658
S0_M_T501,0.3433
S0_M_T505,0.37388
S0_M_T512,0.27834
S0_M_T513,0.48654
S0_M_T518,0.25727
S0_M_T52,0.29971
S0_M_T520,0.25727
S0_M_T523,0.25727
S0_M_T533,0.45359
S0_M_T537,0.23044
S0_M_T539,0.32463
S0_M_T541,0.3015
S0_M_T542,0.38361
S0_M_T544,0.27123
S0_M_T548,0.39282
S0_M_T55,0.43878
S0_M_T554,0.36309
S0_M_T556,0.30636
S0_M_T56,0.32149
S0_M_T575,0.34727
S0_M_T58,0.38826
S0_M_T587,0.44327
S0_M_T589,0.58194
S0_M_T59,0.43878
S0_M_T591,0.35118
S0_M_T596,0.33562
S0_M_T598,0.39855
S0_M_T601,0.27773
S0_M_T614,0.47281
S0_M_T618,0.24729
S0_M_T620,0.31867
S0_M_T624,0.24693
S0_M_T63,0.43878
S0_M_T630,0.35924
S0_M_T633,0.2915
S0_M_T635,0.44457
S0_M_T638,0.38905
S0_M_T64,0.29194
S0_M_T640,0.35358
S0_M_T642,0.3587
S0_M_T643,0.3839
S0_M_T644,0.38889
S0_M_T645,0.3462
S0_M_T646,0.20334
S0_M_T65,0.30206
S0_M_T652,0.46513
S0_M_T653,0.3727
S0_M_T654,0.37529
S0_M_T655,0.31892
S0_M_T656,0.43208
S0_M_T657,0.37602
