id, 1hr, 2hr, 3hr, 4hr, 6hr, 7hr, 8hr, 9hr,10hr
S1_H_T2686,6.9964,6.1957,6.1458,5.5519,5.3923,4.8173,3.9928,3.2224,3.2224
S1_H_T2693,7.4346,6.7875,6.888,6.8249,6.4703,5.9074,4.4078,3.2224,3.5716
S1_H_T2695,6.7931,6.1296,5.9494,5.1893,4.3923,3.8633,3.2224,3.2224,3.2224
S1_H_T2696,6.1073,5.4878,5.0649,4.6299,3.2224,3.6707,3.2224,3.2224,3.2224
S1_H_T27,5.9979,5.3783,5.3644,5.0258,4.8074,4.77,3.7298,3.2224,3.2224
S1_H_T2721,6.3931,6.2588,5.4088,5.3362,4.9229,4.4481,3.2224,3.2224,3.2224
S1_H_T2722,6.6316,6.0366,6.3417,5.9669,4.9229,4.9075,3.8673,3.2224,3.2224
S1_H_T2726,9.6053,8.9264,9.1941,8.9669,8.8297,8.3905,7.5164,4.8294,5.7395
S1_H_T2730,6.0718,5.1751,5.7567,5.5519,4.5443,4.2555,3.5778,3.2224,3.2224
S1_H_T2734,6.703,6.152,6.6682,6.382,5.9773,5.3225,4.4953,3.2224,3.2224
S1_H_T2743,6.4217,5.3399,6.0083,5.5113,5.3923,4.618,3.4078,3.2224,3.2224
S1_H_T2745,5.9979,5.4878,5.2224,5.1369,5.1293,5.033,3.7298,3.2224,3.2224
S1_H_T2746,7.8459,7.0949,7.1059,6.8414,6.0804,5.5635,4.4078,3.2224,3.6495
S1_H_T2751,6.0718,5.5896,6.0369,6.0824,5.3923,5.1485,4.2152,3.2224,3.2224
S1_H_T2752,5.7505,5.2598,4.6124,4.1893,3.2224,3.6707,3.2224,3.2224,3.2224
S1_H_T2758,6.3931,5.8023,5.1718,4.6299,4.3923,4.5636,3.8673,3.2224,3.2224
S1_H_T276,7.5294,6.9236,6.8563,6.7395,6.2224,5.618,5.0517,3.2224,3.2224
S1_H_T2761,6.3343,5.9372,5.5739,5.382,5.0298,4.3867,3.4078,3.2224,3.2224
S1_H_T2764,7.606,6.7875,6.8074,6.5519,6.2224,6.4022,5.362,3.2224,3.5716
S1_H_T2765,6.142,5.6846,4.6124,3.7039,3.2224,3.2224,3.2224,3.2224,3.2224
S1_H_T2766,6.8779,6.1296,6.9036,6.7914,6.3517,5.8172,4.9928,3.2224,3.2224
S1_H_T2774,6.273,5.8847,6.3186,6.1633,5.5443,5.618,4.4078,3.2224,3.2224
S1_H_T2775,6.9384,6.5556,6.7567,6.4264,5.3099,4.5636,4.3147,3.2224,3.2224
S1_H_T2777,7.476,6.6212,5.8563,4.9055,4.5443,4.4481,3.4078,3.2224,3.2224
S1_H_T278,6.7261,6.0124,5.6498,5.2889,4.8074,4.1112,3.2224,3.2224,3.2224
S1_H_T2785,5.9201,4.9384,4.888,4.9669,5.2224,4.3867,3.2224,3.2224,3.2224
S1_H_T2787,7.1578,6.4693,6.0923,5.8083,4.9229,4.9075,3.9928,3.2224,3.2224
S1_H_T2788,6.364,5.4878,5.9791,5.5113,5.3923,4.77,4.3147,3.2224,3.2224
S1_H_T2789,7.6787,7.0599,7.0923,6.8083,6.4319,6.5069,5.4078,3.6967,3.9247
S1_H_T279,6.2414,5.3399,5.888,5.5914,5.2224,5.2554,4.2152,3.2224,3.2224
S1_H_T2791,6.6316,5.9877,6.1973,5.7395,5.6818,4.5636,3.2224,3.2224,3.2224
S1_H_T2793,5.5584,5.3399,4.7567,4.2889,3.5443,3.4483,3.2224,3.2224,3.2224
S1_H_T2797,6.6558,5.9627,5.9791,5.6674,5.2224,4.507,4.1083,3.2224,3.2224
S1_H_T28,5.8795,5.4878,5.4519,4.6299,4.6818,3.8633,3.2224,3.2224,3.2224
S1_H_T2805,7.7137,7.1515,6.9643,6.5914,6.1766,5.6444,4.9928,3.2224,3.2224
S1_H_T2806,7.5809,7.0599,7.0923,6.6858,6.5078,6.1298,5.1083,3.2224,3.5716
S1_H_T2809,5.6576,4.9889,5.8563,5.8083,5.5443,4.9506,4.2152,3.2224,3.2224
S1_H_T2812,6.6558,5.7738,6.6498,6.6299,6.2668,5.591,4.8002,3.2224,3.2224
S1_H_T2822,6.6796,6.174,5.1193,5.0258,4.2224,4.77,3.4078,3.2224,3.2224
S1_H_T2833,6.8572,5.9372,6.2713,5.8083,5.746,5.1485,4.6558,3.2224,3.2224
S1_H_T2835,6.5819,5.8578,6.3644,6.0824,5.5443,5.3866,4.1083,3.2224,3.2224
S1_H_T2838,7.3028,6.7875,6.5739,6.3362,5.6818,5.721,4.8673,3.2224,3.2224
S1_H_T2839,7.9178,7.4688,7.5543,7.2889,6.746,6.3225,5.3147,3.3866,3.5716
S1_H_T284,8.0787,7.248,7.3069,6.8083,6.3923,6.1298,5.3147,3.2224,3.5716
S1_H_T2843,7.3181,6.6212,7.0083,6.8738,6.2668,5.9505,5.0517,3.2224,3.2224
S1_H_T2844,6.273,5.3783,5.8239,5.4264,4.9229,4.2555,3.5778,3.2224,3.2224
S1_H_T2849,5.9595,5.0378,5.0649,4.7039,4.6818,3.4483,3.2224,3.2224,3.2224
S1_H_T2852,8.0515,7.1735,7.6124,7.2524,6.6147,6.185,5.4078,3.2224,3.8607
S1_H_T2853,8.3022,7.5966,7.2471,6.8414,6.6487,6.7334,5.5778,4.3271,4.0448
S1_H_T2855,5.6576,5.2598,5.1193,5.1893,4.6818,4.1112,3.8673,3.2224,3.2224
