True_Degradation_Rate,Predicted_Degradation_Rate
-2.7287,-2.757110642122437
-1.5607,-1.5971816397703764
-2.3492,-2.5641498077469826
-1.7081,-1.728585056045099
-1.9879,-1.9705221826109112
-1.9468,-1.6962927473789944
-2.4183,-2.327931837506396
-1.7206,-1.8698545238260982
-2.6828,-2.559503809439467
-2.6236,-2.676924573646147
-1.3853,-2.010594515373062
-2.0036,-1.548682034969424
-2.0732,-1.431317376666231
-2.3349,-2.366198605933732
-1.6084,-1.9174049306086578
-1.6216,-1.4258404512428142
-1.9559,-1.9657202467707795
-5.0,-2.383797455702384
-2.2804,-3.1894570466996726
-1.2255,-1.5318481423767119
-1.5603,-2.3427040551193956
-1.2042,-1.6604967329781624
-1.3415,-1.6191687723575898
-1.4094,-2.3505372167575462
-1.3388,-1.1697275478323688
-2.561,-3.1156443605354682
-2.0728,-2.5590562180673846
-1.3818,-1.0524797836325956
-1.6241,-2.1542619998022676
-2.5363,-2.604813765044791
-1.6242,-1.7519028268772783
-2.2617,-2.493437360417155
-2.3277,-2.2736360730320313
-2.6088,-2.491889989785361
-5.0,-2.689849965417433
-2.6891,-3.0935773740693264
-1.8945,-2.313056659243756
-2.9951,-2.7642793315482748
-2.7482,-2.33701785051197
-2.3203,-1.9163397910209594
-2.1348,-1.8652211820829763
-1.5566,-1.911450307952623
-1.3301,-1.7940042098077096
-2.4935,-2.4130015169185715
-2.7812,-2.4707093046522353
-1.4216,-1.6937363613483294
-2.0052,-1.7729375901284536
-1.6693,-1.5983050967589942
-2.2797,-2.2860114048198925
-3.0258,-2.5386405455732763
-1.8843,-1.8690326773174772
-1.6938,-2.0565644844087303
-2.2108,-2.341860793848678
-2.2672,-1.8701039576640777
-1.9957,-2.5306674552102493
-2.3485,-2.175421976069163
-1.8378,-1.7931285396598944
-1.5449,-1.5938670192314335
-2.2739,-2.4217621696297194
-5.0,-2.2622233134268486
-1.5266,-1.194981195435003
-1.4646,-1.884787710247419
-2.7369,-2.6816297399847837
-1.642,-1.6328617274062662
-2.0115,-1.9384968527951714
-2.5039,-2.5165888721315235
-2.2617,-2.416746605440517
-1.1618,-2.0454052713606883
-2.3486,-2.6173347175699133
-1.7798,-1.9065316106413346
-1.5338,-2.0958974762995872
-1.6965,-1.5536870022624856
-1.3272,-1.1953523361262843
-2.0899,-2.4962945074313385
-1.5156,-1.996780971349825
-2.5334,-2.454494883429461
-5.0,-3.4544674397090183
-2.3948,-2.7680159228342847
-2.5054,-2.598135713069849
-1.5797,-2.016902866071716
-2.0476,-2.2503215710830307
-2.4395,-2.143271534181223
-1.3388,-1.8794040425144447
-1.0305,-1.4694052046720985
-1.6951,-1.6963608624738231
-1.805,-1.9602730332905582
-3.0702,-3.1201258670848713
-2.2538,-2.0781035205118625
-3.0613,-2.2633331303504445
-1.5543,-1.6069759400648636
-2.1739,-2.286835144353074
-1.6326,-1.9899265733455969
-2.2257,-1.9567766713799515
-2.4667,-2.7850542415646284
-1.135,-1.8213602628149284
-1.9931,-2.5050880505717688
-1.8506,-2.38620185642213
-1.678,-3.0400902627306983
-1.8577,-2.3532887466167103
-1.5684,-1.7285837300171405
-1.4845,-1.5682910738375238
-1.4405,-1.2241135849569909
-1.8081,-1.7369829346503054
-1.6157,-1.4556052648300153
-2.3908,-2.404927552922833
-2.6333,-2.4773282216215486
-2.2731,-1.8854951492176386
-1.6849,-1.6975771980937477
-1.2802,-1.4381401678418038
-2.0434,-1.747591467743038
-1.3418,-1.6090490506903279
-2.6164,-2.0889554211835546
-2.4605,-2.220968857476808
-3.0308,-2.502823348095486
-1.6504,-2.4850386447824038
-2.5444,-2.4409566795661433
-2.4621,-2.244486564838776
-1.9403,-1.9253298642178693
-1.4042,-1.9456210665714055
-1.859,-1.9575893014707508
-1.9804,-1.8998164415015089
-2.3942,-1.9619319478468893
-1.6285,-2.2153160375111716
-1.4515,-1.6002390967616094
-1.6522,-1.351074113404918
-2.2914,-2.367220166523734
-1.514,-1.304009738019693
-2.3984,-2.1756786573868205
-2.4755,-1.9970585536995595
-1.8551,-1.7537496678122608
-2.3229,-2.165798206067356
-2.198,-1.7472753678221942
-2.1171,-2.339408987538719
-3.1477,-2.3600097864837157
-2.4545,-1.8933099238642388
-1.5589,-1.8328932650293317
-2.2365,-1.8923251473209008
-1.7778,-2.0809222000432466
-1.6149,-1.7745415011625
-1.2851,-1.728540544150553
-2.4916,-2.3238543173583253
-2.5958,-1.9632138833682589
-2.1882,-2.0979425368020594
-2.4135,-2.431316468855555
-1.9891,-2.1503029055048772
-1.6777,-1.6182414985450078
-1.9192,-2.437493210024048
-1.5702,-2.1950805568034686
-2.016,-2.0269024074009594
-1.2731,-1.7430408510171294
-2.5321,-1.9895708560307424
-2.8791,-2.474219276544792
-1.779,-1.4110818680854824
-2.1332,-2.1413589632286087
-3.0658,-2.1907583426308395
-1.7029,-2.045088958790284
-1.3372,-1.2819963500466995
-1.6052,-0.9156958277708536
-1.0922,-1.9143280451979323
-3.0361,-2.3970951055614185
-1.3785,-2.0627676976360947
-1.6943,-1.3318181772195716
-2.1904,-1.6802561599836965
-1.7918,-2.4470752524894728
-1.5426,-1.9175390993066257
-1.4538,-1.12343230349209
-2.2913,-2.2529251012992875
-1.6949,-2.1706299928850568
-1.9921,-2.0758736228767143
-1.7598,-1.5713043675896334
-2.2231,-2.353923675824225
-1.3676,-1.7816672324460372
-1.3734,-1.805678608679681
-1.4127,-1.6573002774615424
-1.9207,-2.048524953919485
-1.5275,-1.5060631906041886
-2.0995,-2.895485966644594
-1.8943,-2.588997351173941
-1.8224,-2.2159079256176835
-1.6938,-2.090902835312224
-2.376,-2.7935315314320484
-1.8821,-2.274033951597576
-1.0317,-1.5606889803024595
-2.8206,-2.1061415783422306
-1.2404,-1.535563892057483
-1.4709,-1.154836100077304
-2.1658,-1.6934715295868112
-1.3519,-1.0782779383421812
-2.8423,-2.758910328000554
-5.0,-3.5557494388483164
-2.5661,-2.0326476829109406
-1.6566,-1.583049676407909
-1.1548,-1.387266877662758
-1.6954,-1.7849885161124455
-1.6213,-1.3647706858628044
-1.7499,-1.8207388065714878
-1.4728,-1.5511349802159666
-2.0922,-1.9740522294341287
-2.0287,-1.9002292179329294
-1.5445,-1.3771673852820998
-1.3419,-1.2543545543324224
-1.8884,-2.0771456003103426
-1.4744,-1.3861992320080634
-2.0818,-2.183406448997653
-2.2648,-2.1366875827680096
-2.1201,-1.799302317067833
-1.2084,-1.7893619998752914
-1.69,-2.894222279664427
-1.619,-1.2815197153952125
-1.4254,-1.8431838424888123
-1.708,-1.736865346826191
-1.647,-1.5796217080143817
-1.5937,-1.4503714096453688
-1.3784,-1.4329166099693198
-1.9213,-2.1338884466250976
-2.0567,-1.4205257369633562
-1.8127,-2.0918541073674946
-1.3616,-1.589975530434939
-1.1963,-1.4877130371089264
-2.5439,-2.799098102830815
-2.3063,-2.63676872383901
-1.306,-1.6118688678289435
-2.4232,-1.8330350718664503
-1.3248,-1.2428533847554044
-1.5234,-1.9801883226843575
-1.2621,-1.3420463410252965
-1.7919,-1.538457253273172
-1.9012,-3.1074296792699965
-1.2392,-2.0236791977899142
-2.4427,-2.4470065629719295
-1.9315,-2.184269500760796
-2.5405,-2.3619904256880577
-2.3985,-2.301500328802547
-2.3462,-1.9201884322386034
-2.0725,-2.1187341401936783
-2.1673,-2.0011974750861206
-1.6783,-1.9955009714192473
-2.3357,-2.8285971677317443
-2.069,-2.7058253003907
-2.4175,-1.8199954451587421
-1.4342,-1.0092782541267207
-1.921,-2.303443368315879
-1.3773,-1.2376305918424162
-1.6799,-1.5029891079243523
-1.6081,-2.189609973611
-1.6723,-1.4511393472645144
-2.8232,-2.0087642690494643
-1.6399,-1.9889320046915855
-2.084,-1.8132373879465158
-2.0492,-2.383112115139356
-1.5334,-1.6339128582676443
-2.2161,-2.1369874534652977
-1.9271,-2.0447955462877356
-2.4804,-2.470688789018813
-1.664,-1.7577528396876492
-1.9855,-1.9531088959422949
-1.8017,-1.8676650110020292
-1.4629,-1.4746676341818268
-2.6573,-2.515451435294514
-1.8491,-2.1308941388518687
-2.0636,-2.9234278841368875
-1.5307,-1.552750801261633
-1.9796,-1.7019971952098583
-2.6965,-2.4824121083845263
-2.4206,-1.8151573349100958
-2.1255,-2.301544948447201
-1.7336,-1.5944039640800203
-1.6275,-1.2521138952924786
-1.4987,-1.5792850790183728
-2.6296,-2.629223156643253
-2.1969,-2.1693047306065054
-1.7744,-1.8739012844014853
-2.3108,-2.0103220743023558
-1.9673,-2.0924832511653695
-1.8365,-1.8365906777835626
-1.4832,-1.8814173887886778
-1.9695,-1.8421586016029616
-1.343,-1.7807002770616327
-1.4639,-1.5616070710257501
-1.8851,-1.9897529085355958
-1.5961,-1.393545130754441
-1.3833,-1.6821951133465893
-1.3367,-1.4606536914308008
-2.3513,-2.2796937989401553
-2.3643,-2.3052908476943434
-1.681,-2.810671336677281
-2.5229,-2.4648884817140653
-2.9342,-2.4269743206913534
-1.6912,-1.9031533073385711
-1.7416,-2.000742606566971
-2.5778,-1.6735893932283765
-2.5268,-2.0020392318161377
-2.0963,-2.0083271138796848
-1.6604,-1.841278604259628
-1.9848,-1.7626923058012198
-2.1495,-2.5608646992786688
-2.5718,-2.108935040260012
-1.644,-1.641467193155727
-2.85,-2.298259649622322
-1.3445,-1.2423633717972955
-3.164,-2.6259968288765907
-2.2236,-1.887947224500334
-2.1734,-1.6121886012874413
-2.1109,-2.2764760840660196
-2.1179,-1.7623288414811074
-1.8728,-2.2024659199439585
-2.2272,-1.6754183426387992
-2.0948,-2.0444619894444847
-2.2828,-2.7347009354461607
-0.98638,-1.8159150528360655
-3.0406,-3.212437874620388
-2.3551,-2.691442657076787
-1.3352,-2.0146383475850214
-1.6513,-1.9185343527595504
-2.7858,-2.483104280372215
-2.0656,-2.052427955061703
-2.7436,-3.110252907356924
-1.6891,-2.068405317036333
-2.1825,-2.1896661606295167
-2.4724,-2.418875292433484
-2.2042,-2.4475836319239024
-2.3414,-2.094915254833272
-2.1472,-1.8530056983343797
-1.2422,-1.125720530970186
-1.7652,-1.6130531612439125
-0.90233,-1.8417182167816186
-1.5365,-2.199513412999531
-2.2257,-2.2111630564023086
-1.3804,-1.7122367277954158
-1.742,-2.0804747997977873
-1.7818,-1.57789569946465
-2.5333,-2.2914256014971492
-1.6327,-1.8453782437807302
-2.2106,-3.199231051537507
-1.6444,-1.8036457651605182
-1.7291,-1.8456669080198773
-5.0,-3.0575044816526136
-1.7627,-1.8563734330315191
-2.8329,-2.8609376053828015
-1.0995,-1.7668525412795313
-1.6195,-1.9348054754322337
-2.7272,-2.4843639153693657
-1.3953,-1.2672603957883304
-1.4301,-1.6319101456527605
-1.934,-2.267273797315789
-1.1601,-2.5514100865425595
-1.8166,-1.3426119218893664
-1.4128,-1.3629464426204083
-2.0162,-1.8671609456212348
-1.3967,-1.5378331138884522
-1.513,-1.6463643588510344
-1.5903,-1.413766641952721
-2.2956,-2.5585627972679514
-2.3469,-2.346361004222646
-2.2713,-2.1878919618313244
-1.9728,-1.9177341654239735
-1.7406,-1.8702039952113816
-2.3637,-1.857619734807024
-2.9493,-1.9020746677599623
-2.4641,-2.948278119084941
-1.6324,-1.9838840094498253
-1.9613,-1.925118550924276
-2.0972,-2.0731004405964817
-1.562,-1.575890690629497
-2.4065,-2.0774831445065014
-1.5169,-1.5951680973192612
-2.2641,-2.007920162129597
-1.3223,-1.0834623822451848
-1.716,-2.11274809014566
-2.5191,-2.7871108848344432
-2.4035,-2.3144172775685097
-2.6127,-2.3120103888034462
-1.8814,-2.21890040593768
